ID,Name,Year,Distance,Area
467590,恆春,2004.0,4500.0,6356.0
467790,墾丁雷達站,2004.0,4500.0,0.0
C0R100,尾寮山,2004.0,4500.0,80894.78624908859
C0R130,阿禮,2004.0,4500.0,1304751.615140415
C0R140,瑪家,2004.0,4500.0,670164.8693090364
C0R150,三地門,2004.0,4500.0,41445.5
C0R160,鹽埔,2004.0,4500.0,0.0
C0R170,屏東,2004.0,4500.0,0.0
C0R190,赤山,2004.0,4500.0,0.0
C0R220,潮州,2004.0,4500.0,0.0
C0R240,來義,2004.0,4500.0,0.0
C0R260,春日,2004.0,4500.0,5752.0
C0R270,琉球嶼,2004.0,4500.0,0.0
C0R280,檳榔,2004.0,4500.0,33616.41143168238
C0R320,車城,2004.0,4500.0,1717.6344422353432
C0R341,牡丹,2004.0,4500.0,42630.0
C0R350,貓鼻頭,2004.0,4500.0,0.0
C0R440,大漢山,2004.0,4500.0,34468.0
C0R470,高樹,2004.0,4500.0,0.0
C0R480,長治,2004.0,4500.0,0.0
C0R490,九如,2004.0,4500.0,0.0
C0R510,萬丹,2004.0,4500.0,0.0
C0R520,崁頂,2004.0,4500.0,0.0
C0R530,林邊,2004.0,4500.0,0.0
C0R540,佳冬,2004.0,4500.0,0.0
C0R550,新埤,2004.0,4500.0,0.0
C0R560,新園,2004.0,4500.0,0.0
C0R570,麟洛,2004.0,4500.0,0.0
C0R580,南州,2004.0,4500.0,0.0
C0R590,里港,2004.0,4500.0,0.0
C0R600,舊泰武,2004.0,4500.0,4616.0
C0R620,墾雷,2004.0,4500.0,0.0
C0R640,東港,2004.0,4500.0,0.0
C0R650,竹田,2004.0,4500.0,0.0
C0R660,枋寮,2004.0,4500.0,0.0
C0R670,楓港,2004.0,4500.0,26909.823446141694
C0R680,佳樂水,2004.0,4500.0,5004.0
C0R690,墾丁,2004.0,4500.0,0.0
C0R700,枋山,2004.0,4500.0,4890.19562121789
C0R710,龍磐,2004.0,4500.0,0.0
C0R720,旭海,2004.0,4500.0,2552.0
C0R730,大坪頂,2004.0,4500.0,0.0
C0R740,獅子,2004.0,4500.0,31131.81224637268
C0R750,四林格山,2004.0,4500.0,31276.62980180289
C0R760,南仁湖,2004.0,4500.0,54976.0
C0R770,保力,2004.0,4500.0,21610.48420489207
C0R780,滿州,2004.0,4500.0,6204.0
C0R790,九棚,2004.0,4500.0,4380.0
C0R800,丹路,2004.0,4500.0,44189.7083937499
C0R810,內獅,2004.0,4500.0,8468.0
C0R820,白鷺,2004.0,4500.0,27672.688248448074
C0R830,高士,2004.0,4500.0,18144.87361536084
C0R840,牡丹池山,2004.0,4500.0,7654.844817572077
C1R110,口社,2004.0,4500.0,14476.0
C1R120,上德文,2004.0,4500.0,532899.1428941451
C1R250,力里,2004.0,4500.0,13411.64137043662
C1R290,石門山,2004.0,4500.0,39587.849208676824
C1R610,西大武山,2004.0,4500.0,246324.6722231917
C1R630,龍泉,2004.0,4500.0,0.0
C0R340,牡丹,2004.0,4500.0,4816.815918010066
C0R360,墾丁,2004.0,4500.0,0.0
C0R370,佳樂水,2004.0,4500.0,5004.0
C0R380,枋寮,2004.0,4500.0,0.0
C0R400,楓港,2004.0,4500.0,28471.234429072214
C0R420,牡丹池山,2004.0,4500.0,8900.0
C0R430,東港,2004.0,4500.0,0.0
C0R500,竹田,2004.0,4500.0,0.0
C1R090,里港,2004.0,4500.0,0.0
C1R130,阿禮,2004.0,4500.0,1306876.3839416346
C1R140,瑪家,2004.0,4500.0,670142.0
C1R160,新圍,2004.0,4500.0,0.0
C1R170,屏東,2004.0,4500.0,0.0
C1R190,赤山,2004.0,4500.0,0.0
C1R200,龍泉,2004.0,4500.0,0.0
C1R201,龍泉,2004.0,4500.0,0.0
C1R210,麟洛,2004.0,4500.0,0.0
C1R230,南州,2004.0,4500.0,0.0
C1R240,來義,2004.0,4500.0,0.0
C1R260,春日,2004.0,4500.0,5752.0
C1R300,旭海,2004.0,4500.0,1077.6165949806852
C1R320,車城,2004.0,4500.0,1717.6344422353432
C1R330,枋山,2004.0,4500.0,4878.952934738621
C1R340,牡丹,2004.0,4500.0,42630.0
C1R440,大漢山,2004.0,4500.0,34468.0
467590,恆春,2005.0,4500.0,0.0
467790,墾丁雷達站,2005.0,4500.0,0.0
C0R100,尾寮山,2005.0,4500.0,713244.9514172154
C0R130,阿禮,2005.0,4500.0,476358.06925647234
C0R140,瑪家,2005.0,4500.0,285052.870109024
C0R150,三地門,2005.0,4500.0,29652.983774100318
C0R160,鹽埔,2005.0,4500.0,0.0
C0R170,屏東,2005.0,4500.0,0.0
C0R190,赤山,2005.0,4500.0,0.0
C0R220,潮州,2005.0,4500.0,0.0
C0R240,來義,2005.0,4500.0,14367.03469667824
C0R260,春日,2005.0,4500.0,41329.92688570979
C0R270,琉球嶼,2005.0,4500.0,0.0
C0R280,檳榔,2005.0,4500.0,21736.92803425063
C0R320,車城,2005.0,4500.0,0.0
C0R341,牡丹,2005.0,4500.0,61024.215924248645
C0R350,貓鼻頭,2005.0,4500.0,0.0
C0R440,大漢山,2005.0,4500.0,176551.64775828886
C0R470,高樹,2005.0,4500.0,0.0
C0R480,長治,2005.0,4500.0,0.0
C0R490,九如,2005.0,4500.0,0.0
C0R510,萬丹,2005.0,4500.0,0.0
C0R520,崁頂,2005.0,4500.0,0.0
C0R530,林邊,2005.0,4500.0,0.0
C0R540,佳冬,2005.0,4500.0,0.0
C0R550,新埤,2005.0,4500.0,0.0
C0R560,新園,2005.0,4500.0,0.0
C0R570,麟洛,2005.0,4500.0,0.0
C0R580,南州,2005.0,4500.0,0.0
C0R590,里港,2005.0,4500.0,0.0
C0R600,舊泰武,2005.0,4500.0,80490.87563002636
C0R620,墾雷,2005.0,4500.0,0.0
C0R640,東港,2005.0,4500.0,0.0
C0R650,竹田,2005.0,4500.0,0.0
C0R660,枋寮,2005.0,4500.0,0.0
C0R670,楓港,2005.0,4500.0,1678.5526935209505
C0R680,佳樂水,2005.0,4500.0,0.0
C0R690,墾丁,2005.0,4500.0,0.0
C0R700,枋山,2005.0,4500.0,1791.829979092923
C0R710,龍磐,2005.0,4500.0,0.0
C0R720,旭海,2005.0,4500.0,43061.8015212786
C0R730,大坪頂,2005.0,4500.0,0.0
C0R740,獅子,2005.0,4500.0,4730.570994276027
C0R750,四林格山,2005.0,4500.0,9585.199597622268
C0R760,南仁湖,2005.0,4500.0,89062.70741841021
C0R770,保力,2005.0,4500.0,1955.212847034638
C0R780,滿州,2005.0,4500.0,0.0
C0R790,九棚,2005.0,4500.0,66674.56988126016
C0R800,丹路,2005.0,4500.0,49227.17216832392
C0R810,內獅,2005.0,4500.0,502.0790441765281
C0R820,白鷺,2005.0,4500.0,150797.43528449713
C0R830,高士,2005.0,4500.0,138093.27213622603
C0R840,牡丹池山,2005.0,4500.0,83039.47413947879
C1R110,口社,2005.0,4500.0,49286.59276140621
C1R120,上德文,2005.0,4500.0,285967.28731420776
C1R250,力里,2005.0,4500.0,21006.76604847178
C1R290,石門山,2005.0,4500.0,14372.134295080788
C1R610,西大武山,2005.0,4500.0,311588.48531736666
C1R630,龍泉,2005.0,4500.0,0.0
C0R340,牡丹,2005.0,4500.0,50764.31941722245
C0R360,墾丁,2005.0,4500.0,0.0
C0R370,佳樂水,2005.0,4500.0,0.0
C0R380,枋寮,2005.0,4500.0,0.0
C0R400,楓港,2005.0,4500.0,1678.5526935209505
C0R420,牡丹池山,2005.0,4500.0,83529.59793475576
C0R430,東港,2005.0,4500.0,0.0
C0R500,竹田,2005.0,4500.0,0.0
C1R090,里港,2005.0,4500.0,0.0
C1R130,阿禮,2005.0,4500.0,482870.8195615877
C1R140,瑪家,2005.0,4500.0,285112.6087132283
C1R160,新圍,2005.0,4500.0,0.0
C1R170,屏東,2005.0,4500.0,0.0
C1R190,赤山,2005.0,4500.0,0.0
C1R200,龍泉,2005.0,4500.0,1324.9308405080378
C1R201,龍泉,2005.0,4500.0,1324.9308405080378
C1R210,麟洛,2005.0,4500.0,0.0
C1R230,南州,2005.0,4500.0,0.0
C1R240,來義,2005.0,4500.0,14367.03469667824
C1R260,春日,2005.0,4500.0,41329.92688570979
C1R300,旭海,2005.0,4500.0,37811.792735579904
C1R320,車城,2005.0,4500.0,0.0
C1R330,枋山,2005.0,4500.0,1791.829979092923
C1R340,牡丹,2005.0,4500.0,61024.215924248645
C1R440,大漢山,2005.0,4500.0,176551.64775828886
467590,恆春,2006.0,4500.0,21419.37917633762
467790,墾丁雷達站,2006.0,4500.0,2742.0438793635253
C0R100,尾寮山,2006.0,4500.0,108945.75987985557
C0R130,阿禮,2006.0,4500.0,399087.0743036296
C0R140,瑪家,2006.0,4500.0,101236.4390231545
C0R150,三地門,2006.0,4500.0,2234.2844977561713
C0R160,鹽埔,2006.0,4500.0,0.0
C0R170,屏東,2006.0,4500.0,0.0
C0R190,赤山,2006.0,4500.0,0.0
C0R220,潮州,2006.0,4500.0,0.0
C0R240,來義,2006.0,4500.0,0.0
C0R260,春日,2006.0,4500.0,16970.92492935487
C0R270,琉球嶼,2006.0,4500.0,0.0
C0R280,檳榔,2006.0,4500.0,1933.1450896214408
C0R320,車城,2006.0,4500.0,0.0
C0R341,牡丹,2006.0,4500.0,14147.781876913345
C0R350,貓鼻頭,2006.0,4500.0,0.0
C0R440,大漢山,2006.0,4500.0,166774.44994669672
C0R470,高樹,2006.0,4500.0,0.0
C0R480,長治,2006.0,4500.0,0.0
C0R490,九如,2006.0,4500.0,0.0
C0R510,萬丹,2006.0,4500.0,0.0
C0R520,崁頂,2006.0,4500.0,0.0
C0R530,林邊,2006.0,4500.0,0.0
C0R540,佳冬,2006.0,4500.0,0.0
C0R550,新埤,2006.0,4500.0,0.0
C0R560,新園,2006.0,4500.0,0.0
C0R570,麟洛,2006.0,4500.0,0.0
C0R580,南州,2006.0,4500.0,0.0
C0R590,里港,2006.0,4500.0,0.0
C0R600,舊泰武,2006.0,4500.0,15606.197974327519
C0R620,墾雷,2006.0,4500.0,0.0
C0R640,東港,2006.0,4500.0,0.0
C0R650,竹田,2006.0,4500.0,0.0
C0R660,枋寮,2006.0,4500.0,0.0
C0R670,楓港,2006.0,4500.0,0.0
C0R680,佳樂水,2006.0,4500.0,3767.425235659666
C0R690,墾丁,2006.0,4500.0,7090.677179268796
C0R700,枋山,2006.0,4500.0,0.0
C0R710,龍磐,2006.0,4500.0,0.0
C0R720,旭海,2006.0,4500.0,10416.457825939064
C0R730,大坪頂,2006.0,4500.0,0.0
C0R740,獅子,2006.0,4500.0,1815.152416328229
C0R750,四林格山,2006.0,4500.0,13666.14566571657
C0R760,南仁湖,2006.0,4500.0,8634.682593463413
C0R770,保力,2006.0,4500.0,17773.216951927192
C0R780,滿州,2006.0,4500.0,1025.3813562961407
C0R790,九棚,2006.0,4500.0,3135.0159810708024
C0R800,丹路,2006.0,4500.0,42946.96726362047
C0R810,內獅,2006.0,4500.0,0.0
C0R820,白鷺,2006.0,4500.0,51466.91263269401
C0R830,高士,2006.0,4500.0,7592.580613097822
C0R840,牡丹池山,2006.0,4500.0,8673.760100881927
C1R110,口社,2006.0,4500.0,9737.557909165544
C1R120,上德文,2006.0,4500.0,97684.57944187966
C1R250,力里,2006.0,4500.0,12261.018776826126
C1R290,石門山,2006.0,4500.0,39289.61326607749
C1R610,西大武山,2006.0,4500.0,776454.3198848728
C1R630,龍泉,2006.0,4500.0,0.0
C0R340,牡丹,2006.0,4500.0,8865.555337328982
C0R360,墾丁,2006.0,4500.0,2742.0438793635253
C0R370,佳樂水,2006.0,4500.0,3767.425235659666
C0R380,枋寮,2006.0,4500.0,0.0
C0R400,楓港,2006.0,4500.0,0.0
C0R420,牡丹池山,2006.0,4500.0,8673.760100881927
C0R430,東港,2006.0,4500.0,0.0
C0R500,竹田,2006.0,4500.0,0.0
C1R090,里港,2006.0,4500.0,0.0
C1R130,阿禮,2006.0,4500.0,400994.44036525534
C1R140,瑪家,2006.0,4500.0,100118.75665027933
C1R160,新圍,2006.0,4500.0,0.0
C1R170,屏東,2006.0,4500.0,0.0
C1R190,赤山,2006.0,4500.0,0.0
C1R200,龍泉,2006.0,4500.0,0.0
C1R201,龍泉,2006.0,4500.0,0.0
C1R210,麟洛,2006.0,4500.0,0.0
C1R230,南州,2006.0,4500.0,0.0
C1R240,來義,2006.0,4500.0,0.0
C1R260,春日,2006.0,4500.0,16970.92492935487
C1R300,旭海,2006.0,4500.0,7940.789433201389
C1R320,車城,2006.0,4500.0,0.0
C1R330,枋山,2006.0,4500.0,0.0
C1R340,牡丹,2006.0,4500.0,14147.781876913345
C1R440,大漢山,2006.0,4500.0,166774.44994669672
467590,恆春,2007.0,4500.0,117477.77853706623
467790,墾丁雷達站,2007.0,4500.0,21864.094377540314
C0R100,尾寮山,2007.0,4500.0,142427.75729504685
C0R130,阿禮,2007.0,4500.0,986817.1721436252
C0R140,瑪家,2007.0,4500.0,1213858.8302924603
C0R150,三地門,2007.0,4500.0,75138.39971996038
C0R160,鹽埔,2007.0,4500.0,0.0
C0R170,屏東,2007.0,4500.0,0.0
C0R190,赤山,2007.0,4500.0,21155.750596129543
C0R220,潮州,2007.0,4500.0,0.0
C0R240,來義,2007.0,4500.0,19711.3256140151
C0R260,春日,2007.0,4500.0,0.0
C0R270,琉球嶼,2007.0,4500.0,0.0
C0R280,檳榔,2007.0,4500.0,114097.77389203945
C0R320,車城,2007.0,4500.0,281622.151914865
C0R341,牡丹,2007.0,4500.0,154586.5050490742
C0R350,貓鼻頭,2007.0,4500.0,0.0
C0R440,大漢山,2007.0,4500.0,631197.7040179181
C0R470,高樹,2007.0,4500.0,0.0
C0R480,長治,2007.0,4500.0,0.0
C0R490,九如,2007.0,4500.0,0.0
C0R510,萬丹,2007.0,4500.0,0.0
C0R520,崁頂,2007.0,4500.0,0.0
C0R530,林邊,2007.0,4500.0,0.0
C0R540,佳冬,2007.0,4500.0,0.0
C0R550,新埤,2007.0,4500.0,0.0
C0R560,新園,2007.0,4500.0,0.0
C0R570,麟洛,2007.0,4500.0,0.0
C0R580,南州,2007.0,4500.0,0.0
C0R590,里港,2007.0,4500.0,0.0
C0R600,舊泰武,2007.0,4500.0,156527.68569527267
C0R620,墾雷,2007.0,4500.0,0.0
C0R640,東港,2007.0,4500.0,0.0
C0R650,竹田,2007.0,4500.0,0.0
C0R660,枋寮,2007.0,4500.0,0.0
C0R670,楓港,2007.0,4500.0,1990.5567604408204
C0R680,佳樂水,2007.0,4500.0,3331.5873148850114
C0R690,墾丁,2007.0,4500.0,38324.216727331164
C0R700,枋山,2007.0,4500.0,15664.530863429933
C0R710,龍磐,2007.0,4500.0,6198.892423259131
C0R720,旭海,2007.0,4500.0,11009.273143383176
C0R730,大坪頂,2007.0,4500.0,0.0
C0R740,獅子,2007.0,4500.0,17053.73024203863
C0R750,四林格山,2007.0,4500.0,148983.11115240338
C0R760,南仁湖,2007.0,4500.0,74421.29410933226
C0R770,保力,2007.0,4500.0,154638.82530910327
C0R780,滿州,2007.0,4500.0,23166.85513917162
C0R790,九棚,2007.0,4500.0,46539.7077206228
C0R800,丹路,2007.0,4500.0,116047.61837600284
C0R810,內獅,2007.0,4500.0,13251.784401659268
C0R820,白鷺,2007.0,4500.0,161659.82119528754
C0R830,高士,2007.0,4500.0,116548.40195808704
C0R840,牡丹池山,2007.0,4500.0,33543.95993440225
C1R110,口社,2007.0,4500.0,11708.885069878726
C1R120,上德文,2007.0,4500.0,325609.81657004735
C1R250,力里,2007.0,4500.0,11728.756659626688
C1R290,石門山,2007.0,4500.0,671877.4804098969
C1R610,西大武山,2007.0,4500.0,442201.43355273275
C1R630,龍泉,2007.0,4500.0,0.0
C0R340,牡丹,2007.0,4500.0,28778.488340234304
C0R360,墾丁,2007.0,4500.0,21864.094377540314
C0R370,佳樂水,2007.0,4500.0,13346.648845497315
C0R380,枋寮,2007.0,4500.0,0.0
C0R400,楓港,2007.0,4500.0,2146.8263990875494
C0R420,牡丹池山,2007.0,4500.0,34443.87811155275
C0R430,東港,2007.0,4500.0,0.0
C0R500,竹田,2007.0,4500.0,0.0
C1R090,里港,2007.0,4500.0,0.0
C1R130,阿禮,2007.0,4500.0,992981.9253826955
C1R140,瑪家,2007.0,4500.0,1215538.1503089073
C1R160,新圍,2007.0,4500.0,0.0
C1R170,屏東,2007.0,4500.0,0.0
C1R190,赤山,2007.0,4500.0,21155.750596129543
C1R200,龍泉,2007.0,4500.0,0.0
C1R201,龍泉,2007.0,4500.0,0.0
C1R210,麟洛,2007.0,4500.0,0.0
C1R230,南州,2007.0,4500.0,0.0
C1R240,來義,2007.0,4500.0,19711.3256140151
C1R260,春日,2007.0,4500.0,0.0
C1R300,旭海,2007.0,4500.0,12805.537916912763
C1R320,車城,2007.0,4500.0,281622.151914865
C1R330,枋山,2007.0,4500.0,15664.530863429933
C1R340,牡丹,2007.0,4500.0,154533.13270966196
C1R440,大漢山,2007.0,4500.0,631197.7040179181
467590,恆春,2008.0,4500.0,11232.417103799069
467790,墾丁雷達站,2008.0,4500.0,7441.011480013062
C0R100,尾寮山,2008.0,4500.0,81824.25385274568
C0R130,阿禮,2008.0,4500.0,619620.7457473972
C0R140,瑪家,2008.0,4500.0,324788.9494122602
C0R150,三地門,2008.0,4500.0,18265.276590751753
C0R160,鹽埔,2008.0,4500.0,0.0
C0R170,屏東,2008.0,4500.0,0.0
C0R190,赤山,2008.0,4500.0,774.0058214679384
C0R220,潮州,2008.0,4500.0,0.0
C0R240,來義,2008.0,4500.0,2259.6299709966656
C0R260,春日,2008.0,4500.0,16695.634345251026
C0R270,琉球嶼,2008.0,4500.0,0.0
C0R280,檳榔,2008.0,4500.0,7888.956649535364
C0R320,車城,2008.0,4500.0,20.448797016069236
C0R341,牡丹,2008.0,4500.0,56155.84166261888
C0R350,貓鼻頭,2008.0,4500.0,0.0
C0R440,大漢山,2008.0,4500.0,231516.91895793684
C0R470,高樹,2008.0,4500.0,0.0
C0R480,長治,2008.0,4500.0,0.0
C0R490,九如,2008.0,4500.0,0.0
C0R510,萬丹,2008.0,4500.0,0.0
C0R520,崁頂,2008.0,4500.0,0.0
C0R530,林邊,2008.0,4500.0,0.0
C0R540,佳冬,2008.0,4500.0,0.0
C0R550,新埤,2008.0,4500.0,0.0
C0R560,新園,2008.0,4500.0,0.0
C0R570,麟洛,2008.0,4500.0,0.0
C0R580,南州,2008.0,4500.0,0.0
C0R590,里港,2008.0,4500.0,0.0
C0R600,舊泰武,2008.0,4500.0,42620.08158666589
C0R620,墾雷,2008.0,4500.0,0.0
C0R640,東港,2008.0,4500.0,0.0
C0R650,竹田,2008.0,4500.0,0.0
C0R660,枋寮,2008.0,4500.0,0.0
C0R670,楓港,2008.0,4500.0,233423.7347896679
C0R680,佳樂水,2008.0,4500.0,1060.6610814439123
C0R690,墾丁,2008.0,4500.0,18673.42858381213
C0R700,枋山,2008.0,4500.0,293088.2902430569
C0R710,龍磐,2008.0,4500.0,6700.905556047756
C0R720,旭海,2008.0,4500.0,7836.21391377725
C0R730,大坪頂,2008.0,4500.0,0.0
C0R740,獅子,2008.0,4500.0,485786.5562981649
C0R750,四林格山,2008.0,4500.0,7466.077509517022
C0R760,南仁湖,2008.0,4500.0,2519.2945518660076
C0R770,保力,2008.0,4500.0,724.4166949276469
C0R780,滿州,2008.0,4500.0,801.5459202877756
C0R790,九棚,2008.0,4500.0,5089.099263772814
C0R800,丹路,2008.0,4500.0,830039.2243639175
C0R810,內獅,2008.0,4500.0,123653.73573396378
C0R820,白鷺,2008.0,4500.0,80520.95329262585
C0R830,高士,2008.0,4500.0,5791.479578290159
C0R840,牡丹池山,2008.0,4500.0,15536.710503273376
C1R110,口社,2008.0,4500.0,6426.906121867576
C1R120,上德文,2008.0,4500.0,115450.48999443497
C1R250,力里,2008.0,4500.0,8081.91911560139
C1R290,石門山,2008.0,4500.0,54407.48224433574
C1R610,西大武山,2008.0,4500.0,155077.8097841842
C1R630,龍泉,2008.0,4500.0,0.0
